file_id,num_sent,word_count,count_the,count_this,count_that,count_these,count_those,count_a,count_an,count_one,freq_the,freq_this,freq_that,freq_these,freq_those,freq_a,freq_an,freq_one
247_3269,38,784,32,5,10,2,2,18,1,1,0.04081632653061224,0.006377551020408163,0.012755102040816327,0.002551020408163265,0.002551020408163265,0.02295918367346939,0.0012755102040816326,0.0012755102040816326
247_327,34,782,54,3,15,0,0,10,7,4,0.06905370843989769,0.0038363171355498722,0.01918158567774936,0.0,0.0,0.01278772378516624,0.008951406649616368,0.005115089514066497
247_3270,46,942,55,4,17,1,2,29,4,3,0.058386411889596604,0.004246284501061571,0.018046709129511677,0.0010615711252653928,0.0021231422505307855,0.03078556263269639,0.004246284501061571,0.0031847133757961785
247_3271,10,373,23,4,4,0,1,8,2,1,0.06166219839142091,0.010723860589812333,0.010723860589812333,0.0,0.002680965147453083,0.021447721179624665,0.005361930294906166,0.002680965147453083
247_3272,45,838,44,0,13,0,0,13,5,1,0.05250596658711217,0.0,0.015513126491646777,0.0,0.0,0.015513126491646777,0.0059665871121718375,0.0011933174224343676
247_3273,46,680,38,5,13,2,1,20,3,3,0.05588235294117647,0.007352941176470588,0.01911764705882353,0.0029411764705882353,0.0014705882352941176,0.029411764705882353,0.004411764705882353,0.004411764705882353
247_3274,31,820,38,7,13,0,1,19,0,3,0.046341463414634146,0.00853658536585366,0.015853658536585366,0.0,0.0012195121951219512,0.023170731707317073,0.0,0.003658536585365854
247_3275,13,275,8,3,2,0,0,15,2,3,0.02909090909090909,0.01090909090909091,0.007272727272727273,0.0,0.0,0.05454545454545454,0.007272727272727273,0.01090909090909091
247_3277,29,731,53,2,8,0,0,21,2,1,0.07250341997264022,0.0027359781121751026,0.01094391244870041,0.0,0.0,0.028727770177838577,0.0027359781121751026,0.0013679890560875513
247_3279,39,878,62,0,14,1,1,16,2,2,0.07061503416856492,0.0,0.015945330296127564,0.0011389521640091116,0.0011389521640091116,0.018223234624145785,0.002277904328018223,0.002277904328018223
247_328,21,473,21,4,11,1,0,10,3,1,0.04439746300211417,0.008456659619450317,0.023255813953488372,0.0021141649048625794,0.0,0.021141649048625793,0.006342494714587738,0.0021141649048625794
247_3280,28,709,55,4,16,1,1,13,7,0,0.07757404795486601,0.005641748942172073,0.022566995768688293,0.0014104372355430183,0.0014104372355430183,0.018335684062059238,0.009873060648801129,0.0
247_3281,26,639,26,4,12,0,0,18,4,0,0.0406885758998435,0.006259780907668232,0.018779342723004695,0.0,0.0,0.028169014084507043,0.006259780907668232,0.0
247_3282,26,872,78,5,11,0,0,24,3,2,0.08944954128440367,0.005733944954128441,0.01261467889908257,0.0,0.0,0.027522935779816515,0.0034403669724770644,0.0022935779816513763
247_3283,71,1271,66,7,31,1,0,22,9,4,0.05192761605035405,0.0055074744295830055,0.024390243902439025,0.0007867820613690008,0.0,0.01730920535011802,0.007081038552321007,0.003147128245476003
247_3284,46,819,24,3,12,3,1,23,3,1,0.029304029304029304,0.003663003663003663,0.014652014652014652,0.003663003663003663,0.001221001221001221,0.028083028083028084,0.003663003663003663,0.001221001221001221
247_3286,43,949,45,7,22,1,0,23,5,4,0.04741833508956796,0.007376185458377239,0.023182297154899896,0.001053740779768177,0.0,0.02423603793466807,0.005268703898840885,0.004214963119072708
247_3287,37,847,84,4,18,0,2,17,9,6,0.09917355371900827,0.004722550177095631,0.021251475796930343,0.0,0.0023612750885478157,0.020070838252656435,0.010625737898465172,0.0070838252656434475
247_3289,40,732,38,1,10,0,0,25,3,3,0.05191256830601093,0.001366120218579235,0.01366120218579235,0.0,0.0,0.03415300546448088,0.004098360655737705,0.004098360655737705
247_3290,34,841,39,2,29,0,3,26,1,1,0.04637336504161712,0.0023781212841854932,0.034482758620689655,0.0,0.0035671819262782403,0.030915576694411414,0.0011890606420927466,0.0011890606420927466
247_3291,36,836,40,2,15,2,0,19,3,1,0.04784688995215311,0.0023923444976076554,0.017942583732057416,0.0023923444976076554,0.0,0.022727272727272728,0.0035885167464114833,0.0011961722488038277
247_3292,13,291,26,0,4,0,0,7,0,0,0.08934707903780069,0.0,0.013745704467353952,0.0,0.0,0.024054982817869417,0.0,0.0
247_3293,33,864,92,3,15,1,1,19,5,0,0.10648148148148148,0.003472222222222222,0.017361111111111112,0.0011574074074074073,0.0011574074074074073,0.02199074074074074,0.005787037037037037,0.0
247_3294,21,460,28,1,9,1,1,11,0,1,0.06086956521739131,0.002173913043478261,0.01956521739130435,0.002173913043478261,0.002173913043478261,0.02391304347826087,0.0,0.002173913043478261
247_3295,38,756,53,4,8,1,0,16,2,0,0.0701058201058201,0.005291005291005291,0.010582010582010581,0.0013227513227513227,0.0,0.021164021164021163,0.0026455026455026454,0.0
247_3296,24,598,25,0,14,1,2,17,3,0,0.04180602006688963,0.0,0.023411371237458192,0.0016722408026755853,0.0033444816053511705,0.028428093645484948,0.005016722408026756,0.0
247_3297,35,688,45,4,15,0,0,13,0,1,0.06540697674418605,0.005813953488372093,0.02180232558139535,0.0,0.0,0.0188953488372093,0.0,0.0014534883720930232
247_3298,37,843,72,1,26,1,1,14,5,2,0.08540925266903915,0.0011862396204033216,0.03084223013048636,0.0011862396204033216,0.0011862396204033216,0.0166073546856465,0.005931198102016607,0.002372479240806643
247_3299,33,756,39,3,12,0,0,18,2,5,0.051587301587301584,0.003968253968253968,0.015873015873015872,0.0,0.0,0.023809523809523808,0.0026455026455026454,0.006613756613756613
